basename_lower,video_path,size,fps,nframes
n884a6_ch7_main_20240706043000_20240706050001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,952055138,14.993679868718676,27045
n884a6_ch7_main_20240706050001_20240706053001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706050001_20240706053001.mp4,948749358,14.993580373172074,26976
n884a6_ch7_main_20240706180001_20240706183001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706180001_20240706183001.mp4,949106390,14.991498205176647,26979
n884a6_ch7_main_20240706183001_20240706190001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706183001_20240706190001.mp4,949094487,14.993445609669392,26993
n884a6_ch7_main_20240706190001_20240706193001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706190001_20240706193001.mp4,949205214,14.992667807229989,26991
n884a6_ch7_main_20240706193001_20240706200001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706193001_20240706200001.mp4,949421167,14.99330655957162,26992
n884a6_ch7_main_20240706200001_20240706203001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706200001_20240706203001.mp4,949582089,14.993029210662252,26993
n884a6_ch7_main_20240706203001_20240706210001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706203001_20240706210001.mp4,949286776,14.991247325571702,26976
n884a6_ch7_main_20240706210001_20240706213001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706210001_20240706213001.mp4,949524040,14.989421779473254,26994
n884a6_ch7_main_20240706213001_20240706220001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706213001_20240706220001.mp4,949498974,14.993029210662252,26993
n884a6_ch7_main_20240706220001_20240706223001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706220001_20240706223001.mp4,949365027,14.993722989412404,26992
n884a6_ch7_main_20240706223001_20240706230001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706223001_20240706230001.mp4,949338319,14.993025336645603,26978
