Video,Our Video?,New Vid for V3?,None (1-0),Ear (1-0),Tail (1-0),Teats (1-0),Other (1-0),Focal individual,Notes:,smoke_path,smoke_exists,overlap_by_filename,best_match_path,best_hash_dist,overlap_by_hash,overlap_by_match,smoke_sig_valid,smoke_sig_error,labels
01.mp4,1,0,0.0,0.0,0.0,0.0,1.0,Standing heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\01.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 9\N884A6_ch9_main_20240709093002_20240709100002.mp4,79.0,False,False,True,,['other']
02.mp4,0,1,0.0,0.0,0.0,1.0,0.0,Right heifer in the foreground,,E:\Downey cross-sucking videos 2024\smoke_test\videos\02.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 7\N884A6_ch7_main_20240709050000_20240709053000.mp4,72.0,False,False,True,,['teat']
03.mp4,1,0,0.0,0.0,0.0,1.0,0.0,Right heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\03.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 9\N884A6_ch9_main_20240709133002_20240709140002.mp4,76.0,False,False,True,,['teat']
04.mp4,1,0,1.0,0.0,0.0,0.0,0.0,Left heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\04.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 9\N884A6_ch9_main_20240709080002_20240709083002.mp4,62.0,False,False,True,,['none']
05.MOV,1,0,1.0,0.0,0.0,0.0,0.0,Left heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\05.MOV,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 9\N884A6_ch9_main_20240706093003_20240706100003.mp4,78.0,False,False,True,,['none']
06.mp4,1,1,0.0,0.0,1.0,0.0,0.0,Green collared heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\06.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 10\N884A6_ch10_main_20240709080003_20240709083003.mp4,72.0,False,False,True,,['tail']
07.mp4,0,0,1.0,0.0,0.0,0.0,0.0,Right heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\07.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 10\N884A6_ch10_main_20240709070003_20240709073003.mp4,75.0,False,False,True,,['none']
08.mp4,1,0,1.0,0.0,0.0,0.0,0.0,Standing heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\08.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 9\N884A6_ch9_main_20240706093003_20240706100003.mp4,66.0,False,False,True,,['none']
09.mp4,1,0,0.0,0.0,0.0,1.0,1.0,Brown heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\09.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706043000_20240706050001.mp4,75.0,False,False,True,,"['teat', 'other']"
10.mp4,0,0,0.0,0.0,0.0,0.0,1.0,Left heifer,,E:\Downey cross-sucking videos 2024\smoke_test\videos\10.mp4,True,False,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 9\N884A6_ch9_main_20240706083003_20240706090003.mp4,81.0,False,False,True,,['other']
